conference_acronym	conference_name	conference_location
CIDM 2015 	 IEEE Symposium on Computational Intelligence and Data Mining	Cape Town, South Africa
DMCities 2015 	 Workshop on Data Mining for Smart Cities 2015	Atlantic City, New Jersey, USA
SABID 2015 	 Solar Astronomy Big Data - Workshop on Workshop on Management, Search and Mining of Massive Repositories of Solar Astronomy Data	Atlantic City, NJ
LWMOOCs 2015 	 2015 Learning with MOOCs Workshop, Teachers College, Columbia University, New York (Oct 2-3, 2015)	Columbia University, New York, USA
DaMNet 2015 	 The Fifth IEEE ICDM Workshop on Data Mining in Networks	Atlantic City, NJ, USA
ICDM PhD Forum 2015 	 IEEE International Conference on Data Mining PhD Forum	Atlantic City, NJ
INFORMS-DMA 2015 	 2015 INFORMS Workshop on Data Mining and Analytics	Philadelphia
SocialSens 2015 	 Last CFP: First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
SocialSens 2015 	 First International Workshop on Social Sensing (SocialSens 2015)	Dallas, TX, USA
AECIA 2015 	 Second International Afro-European Conference for  Industrial Advancement	Paris - Villejuif, France
ICAST 2015 	 IEEE 7th International Conference on Awareness Science and Technology	Qinhuangdao
ICMLA 2015 	 International Conference on Machine Learning and Applications	Miami, FL
DTMBio 2015 	 Data and Text Mining in Bioinformatics	Melbourne, Australia
DTMBIO 2015 	 Data and Text Mining in Bioinformatics	Melbourne, Australia
ACTION15 2015 	  Actionable Analytics for SE	Lincoln, Nebraska
LWA/KDML 2015 	 Workshop on Knowledge Discovery, Data Mining and Machine Learning	Trier, Germany
PDCKDD 2015 	 Workshop on Parallel and Distributed Computing for Knowledge Discovery in Data Bases	Porto, Portugal
MUSE 2015 	 6th International Workshop on Mining Ubiquitious and Social Environments	Porto, Portugal
ECML/PKDD  2015 	 ECML'2015  Workshop on Advanced Analytics and Learning on Temporal Data	Porto
ECML MLLS 2015 	 2nd Workshop on Machine Learning in Life Sciences	Porto, Portugal
ECML-AALTD 2015 	 Advanced Analytics and Learning on Temporal Data	Porto
MLSA 2015 	 Machine Learning and Data Mining for Sports Analytics (MLSA 15) @ ECML/PKDD 2015	Porto
ICICSE  2015 	 3rd International Conference on Innovations in Computer Science & Engineering	Guru Nanak Institutions, Hyd, India
Big Data 2015 	 The 3rd International Workshop on Big Data	Xi'an, China
SIDEWAYS 2015 	 International Workshop on Social Media World Sensors	Cyprus
HealthDENSE 2015 	 IEEE CAMAD 2015 : Special Session on Healthcare Data Mining in Sensor Networks (HealthDENSE)	University of Surrey, Guildford, UK
ODDx3 2015 	 KDD 2015 Workshop on Outlier Definition, Detection, and Description	Sydney, Australia
SRS 2015 	 6th International Workshop on Social Recommender Systems (SRS 2015) - KDD'15	Sydney, Australia
IDEAL 2015 	 The 16th International Conference on Intelligent Data Engineering and Automated Learning	Wroclaw, Poland
BIGDATA 2015 	 The Second International Conference on Data Mining, Internet Computing, and Big Data (BigData2015)	Reduit, Mauritius
MoReBikeS Challenge 2015 	 MoReBikeS: 2015 ECML-PKDD Challenge on Model Reuse with Bike rental Station data	Porto, Portugal
CyberC 2015 	 The 7th International Conference on Cyber-Enabled Distributed Computing and Knowledge Discovery	Xi'an, China
IDEA 2015 	 KDD 2015 Workshop on Interactive Data Exploration and Analysis	Sydney, Australia
ICDM 2015 	 International Conference on Data Mining	Atlantic City, NJ, USA
TSCT 2015 	 Special Session on Trends in Soft Computing Techniques 	West Bengal
SEDE 2015 	 24th International Conference on Software Engineering and Data Engineering 	San Diego, California
IJAPR 2015 	 International Journal of Applied Pattern Recogition	N/A
MobiArch 2015 	 10th ACM Workshop on Mobility in the Evolving Internet Architecture 	Paris, France
EMACOM 2015 	 European-Middle Asian Conference on Computer Modelling	Issyk Kul, Kyrgyzstan
DIM 2015 	 The Fourth IEEE International Workshop on Data Integration and Mining	San Francisco, USA
DSAA 2015 	 IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
MHDW 2015 	 4th Mining Humanistic Data Workshop	Island of Rhodes, GREECE
MANEM 2015 	 First International workshop on Multiplex & Attributed Networks Mining	Paris
SSML 2015 	 AERFAI/INIT Summer School on Machine Learning	Benicassim (Spain)
GID 2015 	 ADBIS workshop on GPUs in Databases	Poitiers, France
CIKM 2015 	 Conference on Information and Knowledge Management	Melbourne, Australia
IDA 2015 	 The 14th International Symposium on Intelligent Data Analysis	Saint-Etienne, France
FEAST 2015 	 ICML Workshop on Features and Structures	Lille, France
JCSSE 2015 	 The 12th International Joint Conference on Computer Science and Software Engineering 	Hatyai, Thailand
GTM 2015 	 5th Global TechMining Conference	Atlanta, GA
SNAA 2015 	 The 5th Workshop on Social Network Analysis in Applications	Paris, France
DPBA 2015 	 International Workshop on Data-driven and Predictive Business Analytics (DPBA 2015), coheld with EDOC 2015	Adelaide, Australia
IEEE CPBG 2015 	 The 1st IEEE International Workshop on Classification Problems Embedded in the Nature of Big Data	Helsinki, Finland
Disaster Management 2015 	 4th International Conference on Disaster Management and Human Health: Reducing Risk, Improving Outcomes	Istanbul, Turkey
ISM 2015 	 IEEE International Symposium on Multimedia	Miami, Florida USA
Sociable Smart City 2015 	 2nd International Workshop on Sociable Smart City	Prague, Czech republic
ASONAM 2015 	 Advances in Social Networks Analysis and Mining	Paris, France
ICBO 2015 	 International Conference on Business Operations 2015 - Call for Papers	Prague
ICDCST 2015 	 First International Conference on Data and Communication for Science, Technology and Society	Colombo
ICDCST 2015 	 First International Conference on Data and Communication for Science, Technology and Society	Colombo
BIOKDD 2015 	 6th International Workshop on Biological Knowledge Discovery and Data Mining 	Valencia, Spain
ISNEM@INCoS 2015 	 Special track on Intelligent Sensor Networks for Environmental Monitoring	Taipei, Taiwan
CMEM 2015 	 17th International Conference on Computational Methods and Experimental Measurements	Opatija, Croatia
PAPIs.io 2015 	 The International Conference on Predictive APIs and Apps	Sydney
SSTD 2015 	 14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
JWS-SI-KG 2015 	 Journal of Web Semantics special issue on knowledge graphs	N/A
BigDataSE 2015 	 The 9th IEEE International Conference on Big Data Science and Engineering (IEEE BigDataSE-15)	Helsinki, Finland
LDMC - 15 2015 	 2nd CfP:  Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
LDMC 2015 	 CfP: 3rd Linked Data Mining Challenge at Know@LOD / ESWC 2015	Portoroz, Slovenia
AJIS (Business Analytics) 2015 	 2nd CFP - Australasia Journal of Information Systems, Special Issue on Business Analytics	N/A
CIKM 2015 	 Call for Tutorials: The 24th ACM International Conference on Information and Knowledge Management (CIKM 2015) 19-23 October, 2015, Melbourne, Australia	Melbourne
PAML 2015 	 Journal of Neural Computing and Applications (Springer), Special Issue on  Predictive Analytics Using Machine Learning	N/A
HAIS 2015 	 International Conference on Hybrid Artificial Intelligence Systems (HAIS) 2015 - Final CFP	Bilbao
RuleLearning@RuleML 2015 	 Rule learning - a special track of RuleML 2015	Berlin
MLJ-SI 2015 	 Machine Learning Journal Special Issue on Dynamic networks & Knowledge discovery	N/A
FUSION 2015 	 SS Data Mining and Knowledge Discover - Fusion 2015	Washington D.C.
ULA 2015 	 Unsupervised Learning Algorithms (Springer, 2015)	N/A
IJAIP-CIIS 2015 	 International Journal of Advanced Intelligence Paradigms  	N/A
SNPD 2015 	 16th IEEE/ACIS International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing	Takamatsu, Japan
EsPreSSE 2015 	 Estimation and Prediction in Software & Systems Engineering 	Funchal, Madeira, Portugal
KDD 2015 	 21th ACM SIGKDD Conference on Knowledge Discovery and Data Mining	Sydney, Australia
MobiSocial 2015 	 3rd IEEE International Workshop on Mobile Data Management, Mining, and Computing on Social Networks	Pittsburgh, Pennsylvania, USA
CORES 2015 	 9th International Conference on Computer Recognition Systems	Wroclaw, Poland
MCS 2015 	 12th International Workshop on Multiple Classifier Systems	Ulm University - Reisensburg Castle
EDM 2015 	 Educational Data Mining	Madrid, Spain
BICOD 2015 	 30th British International Conference on Databases	Edinburgh, Scotland
BigD2M 2015 	 Workshop on Big Data and Data Mining Challenges on IoT and Pervasive Systems	London, UK
SDM-BSA 2015 	 Big Data and Stream Analytics Workshop @ SIAM DATA MINING 2015	Vancouver,CA
KES 2015 	 Theory and Applications of Forecasting - Invited Session	Sorrento
IFSA-EUSFLAT 2015 	 SS on  Data Mining and Knowledge Discovery (30 June-3 July, Gijón, Spain)	Gijón (Spain)
NMRPC 2015 	 Nonstationary Models of Pattern Recognition and Classifier Combinations	Reykjavík, Iceland
BigScholar 2015 	 The Second WWW Workshop on Big Scholarly Data @ WWW 2015	Florence, Italy
WAIM 2015 	 The 16th International conference on Web-Age Information Management (WAIM2015)	Qingdao, Shandong, China
MLRec 2015 	 1st International Workshop on Machine Learning Methods for Recommender Systems	British Columbia, Canada
CogMan 2015 	 IFIP/IEEE Workshop on Cognitive Network and Service Management	Ottawa, Canada
ICDSST 2015 	 International Conference on Decision Support System Technology	Belgrade, Serbia
JWS-ML 2014 	 Journal of Web Semantics Special Issue on Machine Learning and Data Mining for the Semantic Web	N/A
Big Data & Analytics - ANT 2015 	 Big Data and Analytics Track (ANT 2015)	London, UK
KES-IDT 2015 	 Theory and Applications of Forecasting - Invited Session - 2nd CALL FOR PAPERS	Sorrento, Italy
ASONAM 2015 	 [Call for workshop Proposal] The 2015 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining	Paris, France
ISSNIP 2015 	 CFP: The IEEE 10th International Conference on Intelligent Sensors, Sensor Networks and Information Processing (ISSNIP) Call for Papers & Call for Demos/Videos [*Final Extension]	Singapore
MDM 2015 	 International Conference on Mobile Data Management	Pittsburgh
TFML 2015 	 Conference on Theoretical Foundations of Machine Learning 2015	Będlewo, Poland
MUD 2015 	 Mining Urban Data - Special Issue - Information Systems (Elsevier)	N/A
PAKDD 2015 	 Pacific-Asia Conference on Knowledge Discovery and Data Mining	Ho Chi Minh, Vietnam
FLAIRS 2015 	 FLAIRS-28:  Special Track in Data Mining	Hollywood, FL
OPTLJ 2016 	 Integrated Optics and Lightwave : An International Journal	N/A
DMAP 2016 	 Second International Conference on Data Mining and Applications	Vienna, Austria
BDAS 2017 	 13th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures	Ustron near Krakow (Cracow), Poland
IJCI 2016 	 International Journal on Cybernetics & Informatics	N/A
ICOK 2017 	 2017 2nd International Conference on Knowledge (ICOK 2017)	Chengdu, China
ICBDA 2017 	 The 2017 IEEE International Conference on Big Data Analysis (ICBDA 2017) - Ei Compendex	Beijing, China 
ICDPR 2017 	 2017 International Conference on Data Processing and Robotics (ICDPR 2017)—Ei&Scopus	Kuala Lumpur,Malaysia
ACTIVE 2017 	 First International Workshop on Data Management on Virtualized Active Systems (In Conjunction with the IEEE ICDE 2017)	San Diego, CA
DMCIT-EI 2017 	 Ei&Scopus--2017 International Conference on Data Mining, Communications and  Information Technology(DMCIT 2017)	Phuket
ICCDA-Ei 2017 	 2017 International Conference on Compute and Data Analysis (ICCDA 2017)—SCOPUS & Ei Compendex	Lakeland, Florida, USA
IEEE-ICDDM 2017 	 IEEE--2017 6th International Workshops on Database and Data Mining (ICDDM 2017)--Ei Compendex	Chengdu, China
SBD 2017 	 Semantic Big Data	Raleigh, USA
ADBIS - Workshops 2017 	 21st European Conference on Advances in Databases and Information Systems (ADBIS 2017) Workshops	Nicosia, Cyprus
ADBIS 2017 	 21st European Conference on Advances in Databases and Information Systems	Nicosia, Cyprus
CIKM 2017 	 The 26th 2017 ACM Conference on Information and Knowledge Management	SINGAPORE
IJCSES 2016 	 International Journal of Computer Science and Engineering Survey 	N/A
IJDMS 2016 	 International Journal of Database Management Systems 	N/A
IJE 2016 	 International Journal of Education	N/A
JANT  2016 	 International Journal of Antennas	N/A
IJMA 2016 	 The International Journal of Multimedia & Its Applications - ERA Indexed	N/A
ANTJ 2016 	 Advanced Nanoscience and Technology: An International Journal 	N/A
ICKE 2017 2017 	 2017 3rd International Conference on Knowledge Engineering (ICKE 2017)	Tokyo, Japan
DASFAA 2017 	 The 22nd International Conference on Database Systems for Advanced Applications	Suzhou
CDKP  2016 	 Fifth International Conference on Data Mining & Knowledge Management Process 	Dubai,UAE
ICAITA 2016 	 Fifth International Conference on Advanced Information Technologies and Applications	Dubai,UAE
CCISP-EI 2016 	 2016 International Conference on Communication, Image and Signal Processing 	Dubai
ICDE 2017 	 IEEE INTERNATIONAL CONFERENCE ON DATA ENGINEERING 2017 	San Diego
BTW 2017 	 The 17th Conference on Database Systems for Business, Technology, and Web	Stuttgart, Germany
ISDSA  2016 	 First International Symposium on Data Science and Applications	Milan, Italy
SIGMOD 2017 	 2017 ACM SIGMOD Conference	Raleigh
CITI 2016 	 2nd International Conference on Technologies and Innovation	Guayaquil, Ecuador
BDTA 2016 	 7th EAI International Conference on Big Data Technologies and Applications	Seoul, South Korea
RuleML Challenge 2016 	 10th International Rule Challenge 2016	Stony Brook University, New York, USA
QDB 2016 	 VLDB Workshop on Quality in Databases	New Delhi, India
PQ 2016 	 Process Querying 2016	Rio de Janeiro, Brazil
SoCC 2016 	 ACM Symposium on Cloud Computing (SoCC) 2016	Santa Clara, California, USA
SISAP 2016 	 9th International Conference on Similarity Search and Applications 	Tokyo, Japan
ICDDM 2016 	 EI Compendex--2016 5th International Workshops on Database and Data Mining (ICDDM 2016)	Chengdu, China
ICKD 2016 	 Ei Compendex--2016 5th International Workshop on Knowledge Discovery (ICKD 2016)	Chengdu, China
IEEE--ICCCBDA 2016 	 EI,IEEE--2016 International Conference on Cloud Computing and Big Data Analysis (ICCCBDA 2016)	Chengdu, China
APWeb 2016 	 Asia-Pacific Web Conference	Suzhou
DMDB 2016 	 Third International Conference on Data Mininig and Database	Vienna, Austria
CN4IoT 2016 	 2nd EAI International Conference on Cloud, Networking for IoT systems	Brindisi
GvDB 2016 	 27.GI-Workshop - Grundlagen von Datenbanken	Nörten-Hardenberg, Germany
IEEE--ICOIP 2016 	 2016 International Conference on Optoelectronics and Image Processing-(ICOIP 2016)--IEEE, Ei	Warsaw, Poland
DBDM  2016 	 Fourth International Conference on Database and Data Mining 	Dubai, UAE
ER 2016 	 Call for Papers: ER 2016 - The 35th International Conference on Conceptual Modeling	Gifu (Japan)
DBKDA 2016 	 The Eighth International Conference on Advances in Databases, Knowledge, and Data Applications	Lisbon, Portugal
VLDB 2016 	 42nd international conference on very large data  bases	New Delhi
Baltic DB&IS, DC 2016 	 Doctoral Consortium, 12th International Baltic Conference on Databases and Information Systems 2016	Riga, Latvia
IMMM 2016 	 The Sixth International Conference on Advances in Information Mining and Management	Valencia, Spain
DMS 2016 	 Seventh International conference on Database Management Systems	Sydney , Australia
BDAS 2016 	 12th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures 	Ustron near Krakow (Cracow), Poland
BDQM 2016 	 The 1st International Workshop on Big Data Quality Management	Dallas, TX
TRANSACT 2016 	 11th ACM SIGPLAN Workshop on Transactional Computing	Barcelona, Spain
ICDE 2016 	 International Conference on Data Engineering	Helsinki, Finland
COMAD 2016 	 Conference on Management of Data, 2016	Pune, India
ICDM 2015 	 ICDM 2015 Student Travel Grants	Atlantic City, NJ, USA
SIGMOD 2016 	 ACM International Conference on Management of Data 	San Francisco, USA
ESAIR 2015 	 8th Workshop on  Exploiting Semantic Annotations for Information Retrieval	 Melbourne, Australia
ICDM 2015 	 International Conference on Data Mining	Atlantic City, NJ, USA
OJIOT 2015 	 Internet of Ubiquitous and Pervasive Things	N/A
SISAP  2015 	 8th International Conference on Similarity Search and Applications	Glasgow, UK
DSAA 2015 	 IEEE International Conference on Data Science and Advanced Analytics (DSAA 2015)	Paris - France
SUM 2015 	 Ninth International Conference on Scalable Uncertainty Management	Quebec, Canada
GID 2015 	 ADBIS workshop on GPUs in Databases	Poitiers, France
KAM 2015 	 21st Conference on Knowledge Acquisition and Management	Lodz, Poland
COSIT 2015 	 12th International Conference on Spatial Information Theory	Santa Fe, New Mexico, USA.
SSTD 2015 	 14th International Symposium on Spatial and Temporal Databases	Seoul, South Korea
DaWaK 2015 	 17th International Conference on Big Data Analytics and Knowledge Discovery - DaWaK 2015	Valencia, Spain
JWS-SI-KG 2015 	 Journal of Web Semantics special issue on knowledge graphs	N/A
VLDB 2015 	 41st International Conference on Very Large Data Bases	Kohala Coast, Hawaii, USA
ADC 2015 	 Australasian Database Conference	Melbourne
IUPT 2015 	 The 5th International Symposium on Internet of Ubiquitous and Pervasive Things	London, UK
ADBIS -  2015 	 [ADBIS'2015]: Call for Workshop Proposals	Poitiers
DAPHNE 2015 	 International Workshop on Data (Co-)Processing on Heterogeneous Hardware 	Brussels, Belgium
ICICS 2015 	 The 6th IEEE International Conference on Information and Communication Systems	Amman, Jordan
BDAS 2015 	 11th (IEEE technically co-sponsored) International Conference Beyond Databases, Architectures and Structures 	Ustron near Krakow, Poland
DASFAA (Demo Track) 2015 	 The 20th International Conference on Database Systems for Advanced Applications (Demo Track) 	Hanoi, Vietnam
SIGMOD 2015 	 International Conference on Management of Data	Melbourne, VIC, Australia
Big Data in Cloud Computing 2014 	 Call for Book Chapters: Managing Big Data in Cloud Computing Environments	N/A
DBDBD 2014 	 The Dutch-Belgian Database Day 2014	Antwerp, Belgium
SCDM 2014 	 2nd Scalable Cloud Data Management Workshop	Washington DC
COMAD 2014 	 International Conference on Management of Data (COMAD)	Hyderabad, India
BBH 2014 	 The 2nd International Workshop of BigData in Bioinformatics and Healthcare Informatics	Washington D.C., USA
IDAM 2014 	 The 4th Intelligent Data Analysis and Management	Kaohsiung, Taiwan
SDA 2014 	 4th International Workshop on Semantic Digital Archives (SDA)	London
ICCIDM 2014 	 International Conference on Computational Intelligence in Data Mining, Springer	Odisha, India
ICDM 2014 	 IEEE International Conference on Data Mining	Shenzhen, China
ICDM 2014 	 [2nd Round CFP] ICDM '14: The 14th IEEE International Conference on Data Mining  	Shenzhen, China
ODBASE 2014 	 The conference on Ontologies, DataBases, and Applications of Semantics for Large Scale Information Systems	Amantea, Italy
FDSE 2014 	 The 1st International Conference on Future Data and Security Engineering 2014	Ho Chi Minh City, Vietnam
DAB 2014 	 3rd International Workshop on Data- and Artifact-Centric BPM	Haifa, Israel
BIRTE 2014 	 Eighth International Workshop on Real-Time Business Intelligence	Hangzhou, China
SISAP (LNCS and IS Journal) 2014 	 7th International Conference on Similarity Search and Applications	Los Cabos, Mexico
BigSys 2014 	 Workshop on System Software Support for Big Data	Stuttgart, Germany
GID 2014 	 ADBIS workshop on GPUs in Databases	Ohrid, Republic of Macedonia
GID 2014 	 ADBIS Workshop on GPUs In Databases	Ohrid, Republic of Macedonia
EnviroInfo 2014 	 28th International Conference on Informatics for Environmental Protection	Oldenburg, Lower Saxony, Germany
SBBD 2014 	 Brazilian Symposium on Databases - JIDM articles	Curitiba, Brazil
APWeb 2014 	 Call for Demo: The 16th Asia-Pacific Web Conference	Changsha, China
JISBD 2014 	 Jornadas de Ingeniería del Software y Bases de Datos	Cadiz (Spain)
PBDA 2014 	 Performance of Business Database Applications	Warsaw, Poland
DanaC 2014 	 Workshop on Data Analytics in the Cloud	Songbird, Utah, U.S.A
RDSS 2014 	 Workshop on Reliable Data Services and Systems	Snowbird, Utah, USA
GRADES 2014 	 GRAph Data-management Experiences and Systems	Snowbird (Utah), USA
ATGRC 2014 	 The International Workshop on Advanced Technologies for Governance, Risk and Compliance	Munich, Germany
WebDB 2014 	 International Workshop on the Web and Databases	Snowbird, Utah, USA
NoSQL-Net 2014 	 1st International Workshop on NoSQL Databases and Linked Data Applications	Munich, Germany
SEBD 2014 	 The 22nd Italian Symposium on Advanced Database Systems	Sorrento Coast, Italy
DaMoN 2014 	 Tenth International Workshop on Data Management on New Hardware	Snowbird, Utah, USA
HardBD 2014 	 The Second International Workshop on Big Data Management on Emerging Hardware	Macau, China
BUDA 2014 	 Workshop on Big Uncertain Data	Snowbird, Utah, USA
DSMM 2014 	 Workshop on Data Science for Macro-Modeling	Snowbird, Utah, USA
SWEET 2014 	 3rd International Workshop on Scalable Workflow Enactment Engines and Technologies	Snowbird, Utah, USA
DATA 2014 	 Int'l Conf. on Data Management Technologies and Applications	Vienna, Austria
DaWaK 2014 	 16th International Conference on Data Warehousing and Knowledge Discovery	Munich, Germany
AECM 2014 	 Workshop on Applied Enterprise Content Management	Munich, Germany
Cloud-I@IS 2013 	 Information Sciences special issue on Cloud Intelligence	N/A
VLDB 2014 	 40th International Conference on Very Large Data Bases	Hangzhou, China
Baltic DB&IS 2014 	 The 11th International Baltic Conference on Databases and Iinformation Systems, DB&IS2014	Tallinn, ESTONIA
DC @ Baltic DB&IS  2014 	 Call for PhD Consortium - 11th  International  Baltic  Conference  on  DB  and  IS,  DB&IS2014 / June  9,  2014,  Tallinn,  ESTONIA	Tallinn, Estonia
IUPT 2014 	 The 4th International Symposium on Internet of Ubiquitous and Pervasive Things	Hasselt, Belgium
DILS 2014 	 10th International Conference on Data Integration in the Life Sciences	Lisbon, Portugal
SYRCoDIS 2014 	 The 10th Spring Researchers Colloquium on Databases and Information Systems	Veliky Novgorod, Russia
ADC 2014 	 The 25th Australasian Database Conference	Brisbane, Australia
MDM 2014 	 15th IEEE International Conference on Mobile Data Management	Brisbane, Australia
Graph-TA 2014 	 Workshop on Graph-based Technologies and Applications	Barcelona
iCICS 2014 	 The 5th IEEE International Conference on Information and Communication Systems	Irbid, Jordan
DEOS 2014 	 4th Workshop on Data Extraction and Object Search	Seoul, South Korea
BDAS 2014 	 10th IEEE International Conference Beyond Databases, Architectures and Structures 	Ustron, Poland
DNIS 2014 	 9th International Workshop on Databases in Networked Information Systems	University of Aizu, Aizu-Wakamatsu, Japan
DMC 2014 	 International Workshop on Data Management in the Cloud	Chicago, IL, United States of America
EnDM 2014 	 3rd International Workshop on Energy Data Management	Athens, Greece
LWDM 2014 	 4th International Workshop on Linked Web Data Management	Athens, Greece
PODS 2014 	 33rd ACM SIGMOD-SIGACT-SIGART Symposium on Principles Of Database Systems	Snowbird, Utah, USA
GraphQ 2014 	 The Third International Workshop on Querying Graph Structured Data	Athens, Greece
NTMS 2014 	 Sixth IFIP International Conference on New Technologies, Mobility and Security	Dubai, UAE
SMDB 2014 	 9th International Workshop on Self-Managing Database Systems	Chicago IL, USA
CloudDB 2014 	 The 6th International workshop on Cloud Data Management	Chicago, IL USA
PAKDD (Tutorial)  2014 	 PAKDD 2014: CALL FOR TUTORIAL PROPOSALS	Tainan, Taiwan
ExData CiSE 2014 	 Special Issue on Extreme Data, Computing inScience & Engineering	N/A
EDBT/ICDT Tutorials 2014 	 EDBT/ICDT 2014 Call for Tutorials	Athens, Greece
GDM 2014 	 The 3rd International Workshop on Graph Data Management: Techniques and Applications	Chicago, IL, USA
DMS 2013 	 Fifth International conference on Database Management Systems	Zurich, Switzerland
EDBT 2014 	 International Conference on Extending Database Technology	Athens, Greece
DBDBD 2013 	 The Dutch-Belgian Database Day	Rotterdam, Netherlands
SITIS 2013 	 Special Session on CLOUD and VIRTUALIZED ENVIRONMENT Meet BIG DATA	Kyoto Terrsa, Japan
FoIKS 2014 	 Eighth International Symposium on  Foundations of Information and Knowledge Systems	Bordeaux, France
ICECIT 2013 	 International Conference  on  Emerging Computation & Information Technologies	Tumkur
DaEng 2013 	 The First International Conference on Advanced Data and Information Engineering - LNEE Springer	Kuala Lumpur, Malaysia
APCCM 2014 	 Tenth Asia-Pacific Conference on Conceptual Modelling	Auckland
APCCM 2013 	 The Ninth Asia-Pacific Conference on Conceptual Modelling	Adelaide, South Australia, Australia
COMAD 2013 	 19th International Conference on Management of Data	Ahmedabad, India
ICIA 2013 	 The Second International Conference on Informatics and Applications	Lodz, Poland
TIDM 2013 	 The First International Workshop on TeraScale In-Core Data Mining	Dallas, Texas
BiDaDA 2013 	 1st Workshop on Biological Data mining and Database Applications	Dallas, Texas, USA
EDBT/ICDT Workshops 2014 	 EDBT/ICDT 2014 Call for Workshop Proposals	Athens, Greece
SIN 2013 	 The 6th International Conference on Security of Information and Networks (SIN 2013)	Aksaray, Turkey
ICDE 2014 	 IEEE International Conference on Data Engineering 	Chicago, USA
SoCC 2013 	 ACM Symposium on Cloud Computing	San Jose, CA
BDSAV 2013 	 The 1st International Workshop on Big Data Storage, Analytics, and Visualization	Washington D.C., United States
CloudDB 2013 	 The Fifth International workshop on Cloud Data Management	San Franciso
RWVW 2013 	 International Workshop on Predicting Real World Behaviors from Virtual World Data	Boston, MA, USA
DOLAP 2013 	 16th International Workshop on Data Warehousing and OLAP	Burlingame, CA, USA
NoCoDA 2013 	 2nd Intl Workshop on Non-Conventional Data-Access	San Francisco, CA, USA
DiPP 2013 	 International Conference on Digital Presentation and Preservation of Cultural and Scientific Heritage	Veliko Tarnovo, Bulgaria
Cloud-I 2013 	 2nd International Workshop on Cloud Intelligence	Riva del Garda, Trento, Italy
DBPL 2013 	 14th International Symposium on Database Programming Languages	Trento, Italy
PersDB 2013 	 The 7th International Workshop on Personalized Access, Profile Management, and Context Awareness in Databases	Riva del Garda, Trento, Italy
DBCrowd 2013 	 First VLDB Workshop on Databases and Crowdsourcing	Riva del Garda, Italy
QDB 2013 	 11th International Workshop on Quality in DataBases	Trento, Italy
BIRTE 2013 	 Seventh International Workshop on Real-Time Business Intelligence	Trento, Italy
IDEAS 2013 	 17th International Database Engineering & Applications Symposium	Barcelona
DAB 2013 	 2nd International Workshop on Data and Artifact-Centric BPM	Beijing, China
DIM 2013 	 The Second IEEE International Workshop on Data Integration and Mining 	San Francisco, USA
ISWC-InUse 2013 	 The 12th International Semantic Web Conference - In Use Track	Sydney, Australia
ODBASE 2013 	 The 12th International Conference on Ontologies, DataBases, and Applications of Semantics	Graz, Austria
CLEI 2013 	 XXXIX Latin-American Conference on Computer Sciences 	Naiguatá, VENEZUELA
CLTM 2013 	 LATIN-AMERICAN MASTER THESIS CONTEST	Naiguatá, VENEZUELA
CIESC 2013 	 XXI Iberoamerican Congress on Higher Education in Computing	Naiguatá, VENEZUELA
CLEI 2013 	 XXXIX Conferencia Latinoamericana en Informática	Naiguatá, VENEZUELA
BiDaTA 2013 	 Adbis Special session on Big Data: New Trends and Applications	Genoa, Italy
ICDIM 2013 	 Eighth International Conference on Digital Information Management	Islamabad
CSE 2013 	 The International Workshop on Cloud and Service Engineering	Aalborg, Denmark
RSmeetDB 2013 	 3rd Workshop on Recommender Systems meet Databases	Prague, Czech Republic
MEDI 2013 	 Third International Conference On Model and Data Engineering	Amantea, Calabria, Italy
SoEA4EE 2013 	 The Fifth Workshop on Service oriented Enterprise Architecture for Enterprise Engineering	Vancouver, Canada
SEBD  2013 	  21th Italian Symposium on Advanced Database Systems	Roccella Jonica (RC) - ITALY
IMDM 2013 	 First Workshop on In-Memory Data Management - Applications and Architectures	Koblenz, Germany
MobiDE 2013 	 12th International ACM Workshop on Data Engineering for Wireless and Mobile Access	New York, USA
GRADES 2013 	 Graph Data-management Experiences and Systems	New York, NY, USA
SI-MCS 2013 	 CFP: Mathematics in Computer Science, Special Issue on Mathematics, Data and Knowledge	Mathematics in Computer Science
CPS 2013 	 Special Session on Cooperative Problem Solving	Craiova, Romania
DEXA 2013 	 24th International Conference on Database and Expert Systems Applications	Prague, Czech Republik
DaWaK 2013 	 15th International Conference on Data Warehousing and Knowledge Discovery	Prague, Czech Republic
DBSocial 2013 	 ACM SIGMOD Workshop on Databases and Social Networks (DBSocial) 2013	New York, NY, USA
DaMoN 2013 	 Ninth International Workshop on Data Management on New Hardware	New York, NY, USA
SWEET 2013 	 2nd International Workshop on Scalable Workflow Enactment Engines and Technologies	New York, NY, USA
WOD 2013 	 2nd International Workshop on Open Data	Paris, France
DEOS 2013 	 Workshop on Data Extraction and Object Search	Oxford, United Kingdom
WebDB 2013 	 16th International Workshop on the Web and Databases	New York, NY, USA
